,tip_amount
passenger_count,0.010177828042301213
trip_distance,0.7691289625437104
fare_amount,0.8234527213327859
extra,0.09184909003911576
mta_tax,-0.2248509834841358
tip_amount,1.0
tolls_amount,0.600657585062613
improvement_surcharge,-0.024279673354776942
